Position Title,Date,Apply,Work Model,Location,Company,Company Size,Salary,Is New Grad
Software Developer,2026-01-12,https://jobright.ai/jobs/info/69654c762cbf4e44756ebffe?utm_source=1100&utm_campaign=Software Engineering,Remote,Canada,Rockwell Automation,10000+,CAD66160-CAD99240 /yr,
"Software Engineer II, Backend (Identity Decisioning)",2026-01-12,https://jobright.ai/jobs/info/6940950caa598a08c3f0408c?utm_source=1100&utm_campaign=Software Engineering,Remote,Remote US,Affirm,1001-5000,"$160,000-$210,000 /yr",
"Associate Software Engineer, 2026 New Grad",2026-01-12,https://jobright.ai/jobs/info/69652e716d52670c5c3dfb47?utm_source=1100&utm_campaign=Software Engineering,Remote,United States/Remote,Underdog,251-500,$100000-$130000 /yr,yes
"Software Engineer II, Backend (Credit Decisioning)",2026-01-12,https://jobright.ai/jobs/info/694846b7d1953b5d11c15a8d?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Baltimore, MD
Los Angeles, CA
Palo Alto, CA
Madison, WI
San Jose, CA
Minneapolis, MN
Houston, TX
Cleveland, OH
Austin, TX
Sioux Falls, SD
Boulder, CO
Philadelphia, PA
San Diego, CA
Miami, FL
Salt Lake City, UT
Nashville, TN
New York, NY
Phoenix, AZ
San Francisco, CA
Denver, CO
Charlotte, NC
Detroit, MI
Atlanta, GA
Washington, DC
Seattle, WA
Las Vegas, NV
Boise, ID
St Louis, MO
Pittsburgh, PA
Chicago, IL
Raleigh, NC
Portland, OR
Boston, MA
Richmond, VA
Dallas, TX",Affirm,1001-5000,$160000-$210000 /yr,
"Software Engineer, AI",2026-01-12,https://jobright.ai/jobs/info/68f17d9cf462172a5a7d92b5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Dallas, TX",Gruve,11-50,$90K-$120K /yr,
Software Developer,2026-01-12,https://jobright.ai/jobs/info/6949224263141d188458d6fe?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Oracle,10000+,$68K-$158K /yr,
Software Developer 2,2026-01-10,https://jobright.ai/jobs/info/696280bea112b4026610da54?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Oracle,10000+,$68K-$158K /yr,yes
Software Engineer,2026-01-10,https://jobright.ai/jobs/info/68eeab08e0db9242258096e0?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,"Sun West Mortgage Company, Inc.",501-1000,$100K-$200K /yr,
"Software Engineer, 2026 Graduate Canada",2026-01-10,https://jobright.ai/jobs/info/695a03699f1b381eb272afbb?utm_source=1100&utm_campaign=Software Engineering,Remote,Canada,Atlassian,10000+,CAD94500-CAD123375 /yr,yes
Software Engineer,2026-01-09,https://jobright.ai/jobs/info/6961949df3f4cd132506a282?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
Rosemont, IL",IMO Health,251-500,$80K-$120K /yr,
"Software Engineer 1, Tax Preparation Data Management",2026-01-09,https://jobright.ai/jobs/info/69618c36e7ed9a5731ba68d6?utm_source=1100&utm_campaign=Software Engineering,Remote,"San Diego, CA",Intuit,10000+,,
Software Engineer,2026-01-09,https://jobright.ai/jobs/info/696159c8f3f4cd1325065135?utm_source=1100&utm_campaign=Software Engineering,Remote,"Remote, USA",Unity,5001-10000,$92400-$138600 /yr,
Software Engineer,2026-01-09,https://jobright.ai/jobs/info/696155a8a112b402660fd8b9?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Unity,5001-10000,$92K-$139K /yr,
"Software Development Engineer, Android Apps",2026-01-09,https://jobright.ai/jobs/info/696527172cbf4e44756e96a7?utm_source=1100&utm_campaign=Software Engineering,Remote,"Cambridge, MA",Audible,1001-5000,$100K-$185K /yr,
"Software Engineer, Media Services",2026-01-09,https://jobright.ai/jobs/info/69446ccb50bbaf76505669a6?utm_source=1100&utm_campaign=Software Engineering,Remote,"New York, NY",Major League Baseball (MLB),1001-5000,$120K-$155K /yr,
"Software Engineer II, Backend (Infrastructure)",2026-01-09,https://jobright.ai/jobs/info/6944af3d94730b739877f367?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Minneapolis, MN
San Jose, CA
Denver, CO
Washington, DC
Chicago, IL
Philadelphia, PA
Richmond, VA
Madison, WI
Cleveland, OH
Austin, TX
Baltimore, MD
Detroit, MI
Miami, FL
Phoenix, AZ
Sioux Falls, SD
Portland, OR
Dallas, TX
Pittsburgh, PA
San Diego, CA
San Francisco, CA
Salt Lake City, UT
Houston, TX
Seattle, WA
Las Vegas, NV
Atlanta, GA
Charlotte, NC
Palo Alto, CA
St Louis, MO
Boston, MA
New York, NY
Boise, ID
Boulder, CO
Nashville, TN
Los Angeles, CA
Raleigh, NC
Remote US",Affirm,1001-5000,$160000-$210000 /yr,
Software Engineer I/II,2026-01-08,https://jobright.ai/jobs/info/68ce330bb2a74e1837ee041f?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,"Multi Media, LLC",101-250,$130K-$165K /yr,
Associate Software Engineer,2026-01-08,https://jobright.ai/jobs/info/69605f26a1bbea1d9a7b3a9a?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
US-MA-Boston
US-TX-Plano
US-NH-Portsmouth",Liberty Mutual Insurance,10000+,$75000-$135000 /yr,
DDOS Software Engineer,2026-01-08,https://jobright.ai/jobs/info/696033227ebc25398eb627d0?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
Seattle, WA",Oracle,10000+,$68K-$158K /yr,
Associate Software Engineer,2026-01-08,https://jobright.ai/jobs/info/696019e9a112b402660ed00a?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,MCA Connect,251-500,$65K-$85K /yr,
Associate Software Engineer,2026-01-08,https://jobright.ai/jobs/info/69600c057ebc25398eb5f504?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,MCA Connect,251-500,$65000-$85000 /yr,
Junior Full Stack Software Developer,2026-01-08,https://jobright.ai/jobs/info/6925019038cd5478a8d61490?utm_source=1100&utm_campaign=Software Engineering,Remote,Canada,Rewind,101-250,$85K-$95K /yr,
Software Engineer: Azure Hyperscale,2026-01-08,https://jobright.ai/jobs/info/695fd1bea1bbea1d9a7a8e8b?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Microsoft,10000+,$84K-$180K /yr,
Software Engineer - Azure Networking,2026-01-08,https://jobright.ai/jobs/info/695fd82aa1bbea1d9a7a92d0?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Microsoft,10000+,$84K-$180K /yr,
"Software Engineer I, Entry-Level (Graduation Date: Fall 2025-Summer 2026)",2026-01-08,https://jobright.ai/jobs/info/68e42479f758fe1f97e647f3?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
San Francisco, CA
Seattle, WA
New York, NY
Sunnyvale, CA
Los Angeles, CA",DoorDash,10000+,$107400-$158000 /yr,
Advanced Degree Software Engineer - Global Industries,2026-01-08,https://jobright.ai/jobs/info/6947017263141d188456b1d7?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Oracle,10000+,$68K-$158K /yr,
Advanced Degree Software Engineer - Database Technologies,2026-01-08,https://jobright.ai/jobs/info/6946e53e63141d188456a016?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Oracle,10000+,$68K-$158K /yr,
Software Engineer 1 - Identity Security,2026-01-07,https://jobright.ai/jobs/info/695ee98ba112b402660da601?utm_source=1100&utm_campaign=Software Engineering,Remote,Remote - USA,Abnormal AI,1001-5000,$127500-$150000 /yr,
Software Engineer: Azure One Fleet Platform,2026-01-07,https://jobright.ai/jobs/info/695e6d2e0badca5763aee873?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Microsoft,10000+,$84K-$180K /yr,
"Software Engineer II, Backend (Identity Decisioning)",2026-01-07,https://jobright.ai/jobs/info/69420a7f50bbaf765053db77?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Miami, FL
Dallas, TX
Pittsburgh, PA
San Francisco, CA
Philadelphia, PA
Baltimore, MD
Portland, OR
Los Angeles, CA
San Diego, CA
Richmond, VA
Austin, TX
Phoenix, AZ
Minneapolis, MN
Salt Lake City, UT
Chicago, IL
San Jose, CA
Denver, CO
Houston, TX
Nashville, TN
Madison, WI
Raleigh, NC
Seattle, WA
Atlanta, GA
Detroit, MI
Las Vegas, NV
Palo Alto, CA
Boston, MA
New York, NY
Charlotte, NC
St Louis, MO
Cleveland, OH
Boulder, CO
Boise, ID
Sioux Falls, SD
Washington, DC",Affirm,1001-5000,$160000-$210000 /yr,
Software Engineer (Takeoff),2026-01-07,https://jobright.ai/jobs/info/691311c8d1047e3565d013c9?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Pilot.com,251-500,$98K-$168K /yr,
Software Engineer (Full-Stack),2026-01-07,https://jobright.ai/jobs/info/691c078515b415636719565b?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Runpod,51-100,$130K-$200K /yr,
Software Engineer CMSS,2026-01-06,https://jobright.ai/jobs/info/695de93f821f2713684b0c22?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Houston, TX
US-TX-Houston",Amentum,10000+,,
"Software Engineer II, Backend (Identity Decisioning)",2026-01-06,https://jobright.ai/jobs/info/6940931caa598a08c3f03f03?utm_source=1100&utm_campaign=Software Engineering,Remote,Remote Canada,Affirm,1001-5000,"$125,000-$175,000 /yr",
Full Stack Software Engineer,2026-01-06,https://jobright.ai/jobs/info/695db7b2efe5dd5cbd3d8d4e?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Privacy.com,101-250,$119000-$175000 /yr,
Associate Software Development Engineer,2026-01-06,https://jobright.ai/jobs/info/695d7f7af1f8465b79f3adad?utm_source=1100&utm_campaign=Software Engineering,On Site,"Dallas, TX, US","XiFin, Inc.",501-1000,$70000-$90000 /yr,
Full-Stack Software Engineer (New Grad) – Remote,2026-01-06,https://jobright.ai/jobs/info/695d5730f1f8465b79f38590?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,SpruceID,11-50,$110000-$150000 /yr,yes
Software Engineer & Computer Science - Recent Grad/Full Time,2026-01-06,https://jobright.ai/jobs/info/695a24f7aa05c26e7ab3bcbf?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Honeywell,10000+,$68K-$126K /yr,
Software Engineer & Computer Science - Recent Grad/Full Time (US Person Required),2026-01-06,https://jobright.ai/jobs/info/690ffe14bb519377733ea1cf?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Honeywell,10000+,$68K-$126K /yr,
"Software Engineer, Full Stack",2026-01-06,https://jobright.ai/jobs/info/6906b83a122e8474c78e07f6?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
New York, NY",Figma,1001-5000,"$149,000-$350,000 /yr",
"Software Engineer, Full Stack",2026-01-06,https://jobright.ai/jobs/info/6906b43363502c0aded82a7e?utm_source=1100&utm_campaign=Software Engineering,Remote,"San Francisco, CA",Figma,1001-5000,$149000-$350000 /yr,
UI Software Engineer,2026-01-06,https://jobright.ai/jobs/info/6940778a49a7695fbd05f68d?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Two Six Technologies,501-1000,$98K-$147K /yr,
Software Engineer,2026-01-06,https://jobright.ai/jobs/info/695ce571f5f3c43f38e1b17c?utm_source=1100&utm_campaign=Software Engineering,On Site,"Austin, TX",Adobe,10000+,$93K-$179K /yr,
Associate Software Development Engineer,2026-01-05,https://jobright.ai/jobs/info/695e083661d5475ac1a0c7f6?utm_source=1100&utm_campaign=Software Engineering,On Site,"Dallas, TX","XiFin, Inc.",501-1000,$70K-$90K /yr,
Software Engineer -Digital Tools &amp; Engineering - Early Career,2026-01-05,https://jobright.ai/jobs/info/695c67ba5e4962051b59839d?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Possible
Florida, Texas",Lockheed Martin,10000+,$62700-$110630 /yr,
IT Software Engineer,2026-01-05,https://jobright.ai/jobs/info/695c50f4f1f8465b79f270f7?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
Lincoln, NE
Centennial, CO
Madison, WI",Nelnet,5001-10000,$70000-$100000 /yr,
"SDE, MLA hardware/software co-design, Annapurna Labs Machine Learning Acceleration",2026-01-05,https://jobright.ai/jobs/info/695c42e822c9dc0d3d54206a?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Cupertino, California, USA
Austin, Texas, USA",Amazon,10000+,"$129,800-$212,800 /yr",
